Username,Like_Count,Created_At,Comment
hasyimsani_,2,10/15/2025 15:49,"Andai ganti pelatih setelah lolos pildun, warga indo bisa menerima"
adisipit28,2,10/12/2025 4:24,Cukup sudah pak kau menyakiti kita para pendukung timnas. Dan tolong kembali kan sty
tegardevian,1,10/12/2025 5:48,NT
muhammadsyadzili,2,10/15/2025 22:30,#kluivertout #aryaout
khaidar_azizi,1,10/15/2025 12:15,#patrickkluivertout #ericktohirout #shintaeyongin
muhammadsyadzili,4,10/15/2025 22:31,#kluivertout #aryaout
roy_m.m.m,2,10/15/2025 5:40,180 menit menuju piala dunia 🤭😂
goodchilld86,3,10/14/2025 21:31,ketua menpora harus menegur ketua pssi
o.ozzii,0,10/18/2025 5:16,"Udah lah gk ush mimpi ke pildun,selama ketuanya si tohir, gk bakal kesampaian"
saifun03,0,10/17/2025 22:00,"Kayaknya federasi federasi di Arab masih mending karena mau lakuin berbagai cara  untuk negaranya bisa masuk piala dunia, tapi federasi kita (Indonesia)  sangat berengsek orang orangnya karena mereka melakukan segala cara hanya untuk mengenyangkan perut mereka sendiri."
indra_anakcemen,0,10/17/2025 17:37,pactrik out pa udh rusakin timnas indonesia
indra_anakcemen,0,10/17/2025 17:36,udahan gara gara pactrik yang hancur kan timnas indonesia udh di bangun sama sty
dioputra_1400,0,10/17/2025 15:01,Out Patrick and Erick thohir
adtyaaarskyyy_,0,10/17/2025 8:24,
harissudradjat,0,10/17/2025 6:13,Agony of Jeddah 2025 #patrickkulivert #erickthohir
m_irido,0,10/16/2025 16:46,"Stop naturalisasi, mending pakai lokal saja kalo cuman dijadikan badut sama mafia"
ririn_408,0,10/16/2025 12:59,Cape bangettt gegara eric
haenurtimah,0,10/16/2025 10:56,⁶
baliyau__,1,10/16/2025 5:11,Ganti Erick tohirnya aja 🤣 dia pebisnis bukan orang yang ngerti bola 😂😂 dia di angkat jadi ketum PSSI pun pasti karena politik bukan karena dia ngerti bola pasti 😂😂
ahmadfirdaus_72,2,10/15/2025 23:27,"jgn nonton pertandingan timnas, klo masih di latih org belanda ga jlas #kluivertout"
muhammadsyadzili,2,10/15/2025 22:31,#kluivertout #aryaout
muhammadsyadzili,1,10/15/2025 22:31,#kluivertout #aryaout
muhammadsyadzili,1,10/15/2025 22:31,#kluivertout #aryaout
abdurozikkkkkkkk,3,10/12/2025 17:00,
deariski_nf,0,10/12/2025 16:59,#erickthohirout
deariski_nf,1,10/12/2025 16:59,#kluivertout
azis.muhamad_,0,10/12/2025 16:53,😢
c_epav02,0,10/12/2025 16:52,Pk out
asyraf.widodo,0,10/12/2025 16:50,"Terimakasih... Keep fighting n never give up, 🔥🔥"
ricko6446,1,10/12/2025 16:45,Pada Intinya. SAYA BERJUDI DENGAN KEPUTUSAN YANG SAYA AMBIL
mooninnsky,2,10/12/2025 16:44,"senang sudah membersamai kalian dari waktu ke waktu, thank you for everything Garuda. see you in the next story ❤️"
ul_azm12,0,10/12/2025 16:41,Erik mundur erik dri pssi sekalian para pelatih tololl ituu
anezakiya,0,10/12/2025 16:38,🥺
aqilamzyy,2,10/12/2025 16:37,"di bangun oleh sty, dihancurkan oleh petrik... semangat buat pemain timnas, Garuda, kecuali Erick Thohir"
firdaus.of,0,10/12/2025 16:35,NT
phandyssamc,0,10/12/2025 16:35,Tim lain ganti pelatih tambah bagus . Laa time kita ganti pelatih tambah ancurr . PSSI kocak . Erik blunder #patrick_out
